[06/Feb/2026:04:08:06 +0000] GET /api/owner/products/accepted 304 135.897 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:07 +0000] GET /api/owner/products/rejected 200 60.647 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:07 +0000] GET /api/owner/products/rejected 304 64.884 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:08 +0000] GET /api/owner/products/new 304 110.860 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:08 +0000] GET /api/owner/products/new 304 53.158 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:08 +0000] GET /api/owner/products/accepted 304 69.599 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:09 +0000] GET /api/owner/products/accepted 304 112.833 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:18 +0000] GET /api/owner/sales 200 1393.555 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:20 +0000] GET /api/owner/sales 304 1111.542 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:23 +0000] GET /api/branches 200 161.149 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:23 +0000] GET /api/branches 304 93.371 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:25 +0000] GET /api/companies 200 54.424 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:25 +0000] GET /api/companies 304 63.635 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:28 +0000] GET /api/owner/products/accepted 304 45.157 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:28 +0000] GET /api/owner/products/accepted 304 86.733 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:29 +0000] GET /api/owner/inventory 200 43.689 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:29 +0000] GET /api/owner/inventory/branches 304 56.301 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:29 +0000] GET /api/owner/inventory 304 50.840 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:29 +0000] GET /api/owner/inventory/branches 304 49.255 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:32:27 +0000] GET /api/csrf-token 200 1.927 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:32:44 +0000] POST /api/auth/login 401 1716.700 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:32:44 +0000] GET /api/csrf-token 304 1.324 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:03 +0000] POST /api/auth/login 401 400.155 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:04 +0000] GET /api/csrf-token 304 0.922 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:18 +0000] POST /api/auth/login 200 94.892 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:18 +0000] GET /api/manager/analytics/dashboard-data 200 337.317 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:19 +0000] GET /api/manager/analytics/dashboard-data 304 285.926 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:26 +0000] GET /api/manager/sales 200 2788.737 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:26 +0000] GET /api/manager/employees/me 200 630.526 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:26 +0000] GET /api/manager/orders 200 721.405 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:26 +0000] GET /api/manager/employees/me 304 126.315 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:27 +0000] GET /api/manager/orders 304 349.856 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:27 +0000] GET /api/manager/sales 304 710.376 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:28 +0000] GET /api/manager/inventory 200 905.875 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:33:29 +0000] GET /api/manager/inventory 304 1075.874 ms - naman - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:05 +0000] POST /api/auth/login 401 47.961 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:05 +0000] GET /api/csrf-token 304 0.416 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:22 +0000] POST /api/auth/login 200 108.392 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:23 +0000] GET /api/owner/analytics/data 200 181.999 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:23 +0000] GET /api/owner/analytics/data 304 58.380 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:26 +0000] GET /api/owner/sales 304 616.915 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:28 +0000] GET /api/owner/sales 304 2106.514 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:34 +0000] GET /api/owner/orders 200 113.088 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:34 +0000] GET /api/owner/orders/branches 304 125.011 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
