[08/Feb/2026:11:17:10 +0000] GET /api/owner/products/rejected 304 144.772 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:10 +0000] GET /api/owner/products/rejected 304 319.122 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:13 +0000] GET /api/owner/inventory/branches 304 228.778 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:13 +0000] GET /api/owner/inventory 304 242.844 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:13 +0000] GET /api/owner/inventory/branches 304 168.667 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:13 +0000] GET /api/owner/inventory 304 162.853 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:17 +0000] GET /api/owner/salaries/branches 304 167.577 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:17 +0000] GET /api/owner/salaries/branches 304 277.037 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:17 +0000] GET /api/employees 304 296.108 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:18 +0000] GET /api/employees 304 324.623 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
